% Share price data file
% Columns are: [Decimal date, Apple, IBM, Microsoft]
1996,6.91,23.35,4.66
1995.9,7.97,19.66,4.42
1995.8,9.53,20.79,4.39
1995.7,9.05,20.88,5.04
1995.7,9.28,20.29,4.56
1995.6,10.72,22.19,4.66
1995.5,11.18,23.32,4.56
1995.4,11.54,20.56,4.55
1995.3,10.33,19.92,4.26
1995.3,9.48,20.21,4.12
1995.2,8.74,17.54,3.58
1995.1,9.79,16.07,3.17
1995,9.98,15.35,2.99
1994.9,9.64,15.65,3.08
1994.8,9.21,15.06,3.17
1994.8,10.64,15.81,3.17
1994.7,8.3,14.77,2.83
1994.6,8.92,14.53,2.93
1994.5,8.27,13.08,2.59
1994.4,6.51,12.42,2.6
1994.3,7.18,13.31,2.71
1994.3,7.34,12.1,2.33
1994.2,8.13,11.49,2.13
1994.1,8.93,11.13,2.08
1994,7.98,11.83,2.14
1993.9,7.13,11.83,2.03
1993.8,7.68,11.29,2.01
1993.7,7.47,9.59,2.02
1993.7,5.68,8.75,2.08
1993.6,6.44,9.54,1.89
1993.5,6.71,9.22,1.86
1993.4,9.55,10.23,2.22
1993.3,13.69,10.93,2.33
1993.2,12.37,9.97,2.15
1993.2,12.43,10.43,2.33
1993.1,12.79,11.15,2.1
1993,14.33,10.45,2.18
1992.9,14.39,10.22,2.15
1992.8,13.84,13.84,2.34
1992.7,12.61,13.32,2.23
1992.7,10.84,16.09,2.03
1992.6,11.05,17.26,1.88
1992.5,11.2,18.63,1.83
1992.4,11.5,19.24,1.76
1992.3,14.29,17.84,2.03
1992.2,14.38,17.61,1.85
1992.2,13.93,16.2,1.99
1992.1,16.14,16.86,2.07
1992,15.46,17.23,2.02
1991.9,13.46,17.04,1.87
1991.8,12.11,17.71,1.63
1991.7,12.26,18.58,1.58
1991.7,11.79,19.6,1.49
1991.6,12.62,18.32,1.43
1991.5,10.99,18.92,1.23
1991.4,9.86,18.15,1.14
1991.3,11.17,19.83,1.23
1991.2,13.03,19.02,1.11
1991.2,16.11,21.03,1.19
1991.1,13.57,23.78,1.16
1991,13.12,23.18,1.1
1990.9,10.17,20.67,0.84
1990.8,8.69,20.78,0.81
1990.7,7.25,19.08,0.71
1990.7,6.83,19.24,0.7
1990.6,8.72,18.43,0.69
1990.5,9.87,19.94,0.74
1990.4,10.52,21.01,0.85
1990.3,9.69,21.46,0.82
1990.2,9.23,19.28,0.65
1990.2,9.43,18.77,0.62
1990.1,7.97,18.37,0.55
1990,7.94,17.23,0.52
1989.9,8.23,16.44,0.49
1989.8,10.34,17.05,0.49
1989.8,10.83,17.3,0.46
1989.7,10.37,18.85,0.38
1989.6,10.37,20.21,0.33
1989.5,9.24,19.64,0.31
1989.4,9.59,19.1,0.3
1989.3,11.1,18.72,0.34
1989.3,9.05,19.27,0.31
1989.2,8.26,18.43,0.28
1989.1,8.41,20.52,0.33
1989,8.73,21.88,0.33
1988.9,9.31,20.41,0.3
1988.8,8.7,19.84,0.26
1988.8,8.91,20.35,0.27
1988.7,9.98,19.15,0.29
1988.6,9.2,18.5,0.28
1988.5,10.22,20.69,0.33
1988.4,10.65,20.95,0.37
1988.3,9.56,18.51,0.32
1988.3,9.42,18.47,0.3
1988.2,9.19,17.53,0.32
1988.1,9.88,19.14,0.33
1988,9.52,18.12,0.31
1987.9,9.63,18.63,0.3
1987.8,7.57,17.86,0.25
1987.7,8.84,19.57,0.28
1987.7,12.93,24.09,0.37
1987.6,12.36,26.91,0.33
1987.5,9.43,25.55,0.26
1987.4,9.26,25.79,0.29
1987.3,9.03,25.39,0.32
1987.2,9.04,25.24,0.29
1987.2,7.36,23.67,0.27
1987.1,7.99,21.99,0.21
1987,6.33,20.13,0.2
1986.9,4.62,18.76,0.13
1986.8,4.56,19.88,0.14
